timestamp,pct_actas_global,total_distritos,distritos_100pct,total_votos_validos,total_votos_emitidos,top_candidates_json
2026-04-14 18:23:49,74.2,2102,560,13055712,15439194,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2207574, ""pct"": 16.909}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1677778, ""pct"": 12.851}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1555052, ""pct"": 11.911}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1304812, ""pct"": 9.994}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1297429, ""pct"": 9.938}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1070460, ""pct"": 8.199}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 994743, ""pct"": 7.619}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 480211, ""pct"": 3.678}, {""partido"": ""PARTIDO SICREO"", ""votos"": 467958, ""pct"": 3.584}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 248760, ""pct"": 1.905}]"
2026-04-14 19:08:39,76.45,2102,610,13386482,15856196,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2259588, ""pct"": 16.88}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1705500, ""pct"": 12.74}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1580059, ""pct"": 11.803}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1372428, ""pct"": 10.252}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1340841, ""pct"": 10.016}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1088749, ""pct"": 8.133}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1015105, ""pct"": 7.583}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 487945, ""pct"": 3.645}, {""partido"": ""PARTIDO SICREO"", ""votos"": 476603, ""pct"": 3.56}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 254354, ""pct"": 1.9}]"
2026-04-14 19:27:02,76.63,2102,614,13412919,15890144,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2263450, ""pct"": 16.875}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1706876, ""pct"": 12.726}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1581720, ""pct"": 11.793}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1379189, ""pct"": 10.283}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1343682, ""pct"": 10.018}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1090001, ""pct"": 8.127}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1016929, ""pct"": 7.582}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 488475, ""pct"": 3.642}, {""partido"": ""PARTIDO SICREO"", ""votos"": 477303, ""pct"": 3.559}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 254834, ""pct"": 1.9}]"
2026-04-14 20:06:34,76.74,2102,617,13427460,15908901,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2265802, ""pct"": 16.874}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1707776, ""pct"": 12.719}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1582766, ""pct"": 11.788}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1382739, ""pct"": 10.298}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1345427, ""pct"": 10.02}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1090770, ""pct"": 8.123}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1017782, ""pct"": 7.58}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 488747, ""pct"": 3.64}, {""partido"": ""PARTIDO SICREO"", ""votos"": 477684, ""pct"": 3.558}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 255084, ""pct"": 1.9}]"
2026-04-14 20:46:02,77.1,2102,629,13476924,15972878,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2273314, ""pct"": 16.868}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1710374, ""pct"": 12.691}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1585139, ""pct"": 11.762}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1397791, ""pct"": 10.372}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1351467, ""pct"": 10.028}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1092974, ""pct"": 8.11}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1020472, ""pct"": 7.572}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 489614, ""pct"": 3.633}, {""partido"": ""PARTIDO SICREO"", ""votos"": 478643, ""pct"": 3.552}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 255749, ""pct"": 1.898}]"
2026-04-14 21:24:46,77.38,2102,634,13514831,16022123,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2279225, ""pct"": 16.865}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1712238, ""pct"": 12.669}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1587462, ""pct"": 11.746}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1410091, ""pct"": 10.434}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1355636, ""pct"": 10.031}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1094486, ""pct"": 8.098}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1022391, ""pct"": 7.565}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 490207, ""pct"": 3.627}, {""partido"": ""PARTIDO SICREO"", ""votos"": 479197, ""pct"": 3.546}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 256283, ""pct"": 1.896}]"
2026-04-14 22:03:33,77.67,2102,640,13554590,16073980,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2287444, ""pct"": 16.876}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1713955, ""pct"": 12.645}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1589540, ""pct"": 11.727}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1419596, ""pct"": 10.473}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1360149, ""pct"": 10.035}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1096802, ""pct"": 8.092}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1024886, ""pct"": 7.561}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 490929, ""pct"": 3.622}, {""partido"": ""PARTIDO SICREO"", ""votos"": 480058, ""pct"": 3.542}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 256938, ""pct"": 1.896}]"
2026-04-15 09:32:57,88.01,2102,894,14977654,17910549,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2531018, ""pct"": 16.899}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1800757, ""pct"": 12.023}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1771567, ""pct"": 11.828}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1675401, ""pct"": 11.186}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1520973, ""pct"": 10.155}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1174005, ""pct"": 7.838}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1112865, ""pct"": 7.43}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 519147, ""pct"": 3.466}, {""partido"": ""PARTIDO SICREO"", ""votos"": 511962, ""pct"": 3.418}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 280314, ""pct"": 1.872}]"
2026-04-15 11:11:39,0,0,0,0,0,[]
2026-04-15 11:31:57,89.12,2102,910,15127097,18106316,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2560099, ""pct"": 16.924}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1810286, ""pct"": 11.967}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1805155, ""pct"": 11.933}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1684432, ""pct"": 11.135}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1537240, ""pct"": 10.162}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1184324, ""pct"": 7.829}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1121542, ""pct"": 7.414}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 522649, ""pct"": 3.455}, {""partido"": ""PARTIDO SICREO"", ""votos"": 515742, ""pct"": 3.409}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 282430, ""pct"": 1.867}]"
2026-04-15 12:10:29,89.34,2102,915,15157948,18145967,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2565844, ""pct"": 16.927}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1812677, ""pct"": 11.959}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1811591, ""pct"": 11.951}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1686583, ""pct"": 11.127}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1540216, ""pct"": 10.161}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1186832, ""pct"": 7.83}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1123232, ""pct"": 7.41}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 523503, ""pct"": 3.454}, {""partido"": ""PARTIDO SICREO"", ""votos"": 516500, ""pct"": 3.407}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 282900, ""pct"": 1.866}]"
2026-04-15 12:41:07,89.55,2102,917,15186059,18182410,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2571529, ""pct"": 16.933}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1816087, ""pct"": 11.959}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1814970, ""pct"": 11.952}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1688893, ""pct"": 11.121}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1542888, ""pct"": 10.16}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1189515, ""pct"": 7.833}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1124857, ""pct"": 7.407}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 524320, ""pct"": 3.453}, {""partido"": ""PARTIDO SICREO"", ""votos"": 517248, ""pct"": 3.406}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 283350, ""pct"": 1.866}]"
2026-04-15 13:20:24,89.78,2102,921,15217683,18223031,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2577786, ""pct"": 16.939}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1821816, ""pct"": 11.972}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1817578, ""pct"": 11.944}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1691811, ""pct"": 11.117}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1546300, ""pct"": 10.161}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1192243, ""pct"": 7.835}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1126415, ""pct"": 7.402}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 525061, ""pct"": 3.45}, {""partido"": ""PARTIDO SICREO"", ""votos"": 517992, ""pct"": 3.404}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 283813, ""pct"": 1.865}]"
2026-04-15 14:07:26,90.1,2102,931,15263568,18281353,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2587271, ""pct"": 16.951}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1829470, ""pct"": 11.986}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1821914, ""pct"": 11.936}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1696444, ""pct"": 11.114}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1550889, ""pct"": 10.161}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1195751, ""pct"": 7.834}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1128663, ""pct"": 7.394}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 526206, ""pct"": 3.447}, {""partido"": ""PARTIDO SICREO"", ""votos"": 519059, ""pct"": 3.401}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 284474, ""pct"": 1.864}]"
2026-04-15 15:03:35,90.36,2102,932,15302389,18331892,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2595049, ""pct"": 16.958}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1838132, ""pct"": 12.012}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1823934, ""pct"": 11.919}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1699013, ""pct"": 11.103}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1555280, ""pct"": 10.164}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1198837, ""pct"": 7.834}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1130607, ""pct"": 7.388}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 527004, ""pct"": 3.444}, {""partido"": ""PARTIDO SICREO"", ""votos"": 519893, ""pct"": 3.397}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 285094, ""pct"": 1.863}]"
2026-04-15 15:42:55,90.57,2102,937,15332353,18371431,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2602543, ""pct"": 16.974}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1844602, ""pct"": 12.031}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1825098, ""pct"": 11.904}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1700565, ""pct"": 11.091}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1558503, ""pct"": 10.165}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1201137, ""pct"": 7.834}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1132108, ""pct"": 7.384}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 527540, ""pct"": 3.441}, {""partido"": ""PARTIDO SICREO"", ""votos"": 520590, ""pct"": 3.395}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 285519, ""pct"": 1.862}]"
2026-04-15 16:22:30,90.74,2102,938,15358830,18405730,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2608982, ""pct"": 16.987}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1849664, ""pct"": 12.043}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1826591, ""pct"": 11.893}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1702471, ""pct"": 11.085}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1561045, ""pct"": 10.164}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1203462, ""pct"": 7.836}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1133550, ""pct"": 7.38}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 528174, ""pct"": 3.439}, {""partido"": ""PARTIDO SICREO"", ""votos"": 521241, ""pct"": 3.394}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 285858, ""pct"": 1.861}]"
2026-04-15 17:02:23,90.91,2102,940,15384202,18437981,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2615214, ""pct"": 16.999}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1853653, ""pct"": 12.049}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1828104, ""pct"": 11.883}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1704653, ""pct"": 11.081}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1563482, ""pct"": 10.163}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1206055, ""pct"": 7.84}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1134813, ""pct"": 7.376}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 528904, ""pct"": 3.438}, {""partido"": ""PARTIDO SICREO"", ""votos"": 522002, ""pct"": 3.393}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 286209, ""pct"": 1.86}]"
2026-04-15 17:42:26,91.05,2102,942,15404683,18464650,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2620175, ""pct"": 17.009}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1857150, ""pct"": 12.056}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1829252, ""pct"": 11.875}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1706099, ""pct"": 11.075}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1565420, ""pct"": 10.162}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1208311, ""pct"": 7.844}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1135738, ""pct"": 7.373}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 529431, ""pct"": 3.437}, {""partido"": ""PARTIDO SICREO"", ""votos"": 522488, ""pct"": 3.392}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 286425, ""pct"": 1.859}]"
2026-04-15 17:57:46,91.1,2102,943,15411025,18472910,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2621529, ""pct"": 17.011}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1858405, ""pct"": 12.059}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1829606, ""pct"": 11.872}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1706495, ""pct"": 11.073}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1566006, ""pct"": 10.162}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1208988, ""pct"": 7.845}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1136105, ""pct"": 7.372}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 529591, ""pct"": 3.436}, {""partido"": ""PARTIDO SICREO"", ""votos"": 522663, ""pct"": 3.391}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 286504, ""pct"": 1.859}]"
2026-04-15 20:15:08,91.45,2102,948,15459717,18536070,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2634469, ""pct"": 17.041}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1865756, ""pct"": 12.069}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1832301, ""pct"": 11.852}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1709485, ""pct"": 11.058}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1570106, ""pct"": 10.156}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1214421, ""pct"": 7.855}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1138121, ""pct"": 7.362}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 530604, ""pct"": 3.432}, {""partido"": ""PARTIDO SICREO"", ""votos"": 523727, ""pct"": 3.388}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 287094, ""pct"": 1.857}]"
2026-04-16 09:15:36,92.05,2092,964,15436246,18513606,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2635774, ""pct"": 17.075}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1863215, ""pct"": 12.07}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1834141, ""pct"": 11.882}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1707290, ""pct"": 11.06}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1567149, ""pct"": 10.152}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1213770, ""pct"": 7.863}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1129830, ""pct"": 7.319}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 529938, ""pct"": 3.433}, {""partido"": ""PARTIDO SICREO"", ""votos"": 521271, ""pct"": 3.377}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 285130, ""pct"": 1.847}]"
2026-04-16 11:26:43,92.34,2102,965,15606082,18713299,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2661313, ""pct"": 17.053}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1876568, ""pct"": 12.025}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1853490, ""pct"": 11.877}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1726924, ""pct"": 11.066}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1584747, ""pct"": 10.155}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1229089, ""pct"": 7.876}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1147435, ""pct"": 7.352}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 535982, ""pct"": 3.434}, {""partido"": ""PARTIDO SICREO"", ""votos"": 528456, ""pct"": 3.386}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 289397, ""pct"": 1.854}]"
